,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
342,Duck Life: Retro Pack,GAME_SPORTS,4.1,475,1.79,10000,MoFunZone.com,https://play.google.com/store/apps/details?id=com.MoFunZone.DuckLifeRetroPack,17900.0
343,Pro Strategy Football 2018,GAME_SPORTS,4.3,44,4.99,500,Pro Strategy Games,https://play.google.com/store/apps/details?id=com.batts.psf2017,2495.0
344,Home Run High,GAME_SPORTS,4.7,1247,4.99,10000,"Kairosoft Co.,Ltd",https://play.google.com/store/apps/details?id=net.kairosoft.android.baseball_en,49900.0
345,College BBALL Coach,GAME_SPORTS,4.2,223,0.99,1000,Zolnier Games,https://play.google.com/store/apps/details?id=com.hotmail.zolnier.CollegeBBallCoach,990.0
346,CN Superstar Soccer: Goal!!!,GAME_SPORTS,4.1,4191,2.99,100000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.superstarsoccer2,299000.0
347,Shred! 2 - Freeride Mountain Biking,GAME_SPORTS,4.6,374,3.49,1000,ASBO Interactive,https://play.google.com/store/apps/details?id=com.ASBO.Shred2,3490.0
348,Disc Golf Game,GAME_SPORTS,4.3,540,3.99,10000,Jarkko Honkakoski,https://play.google.com/store/apps/details?id=fi.kuvakertomo.discgolfgame,39900.0
349,Athletics 2: Summer Sports,GAME_SPORTS,4.1,2093,1.99,100000,Tangram3D,https://play.google.com/store/apps/details?id=com.tangram3D.Athletics2,199000.0
350,Bloons TD 6,GAME_STRATEGY,4.7,48079,4.99,500000,ninja kiwi,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6,2495000.0
351,Kingdom Rush Vengeance,GAME_STRATEGY,4.7,20550,4.99,50000,Ironhide Game Studio,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrush4,249500.0
352,Bloons TD 5,GAME_STRATEGY,4.6,192835,2.99,1000000,ninja kiwi,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd5,2990000.0
353,Age of Civilizations II,GAME_STRATEGY,4.4,4236,1.99,10000,Łukasz Jakowski,https://play.google.com/store/apps/details?id=age.of.civilizations2.jakowski.lukasz,19900.0
354,Papa's Freezeria To Go!,GAME_STRATEGY,4.4,17604,0.99,100000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papasfreezeriatogo,99000.0
355,The Escapists: Prison Escape,GAME_STRATEGY,4.3,9136,6.49,100000,Team 17 Digital Limited,https://play.google.com/store/apps/details?id=com.team17.escapists,649000.0
356,Five Nights at Freddy's 2,GAME_STRATEGY,4.6,75326,2.99,500000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf2,1495000.0
357,ROME: Total War,GAME_STRATEGY,4.5,790,9.99,10000,Feral Interactive,https://play.google.com/store/apps/details?id=com.feralinteractive.rometw,99900.0
358,Rusted Warfare - RTS Strategy,GAME_STRATEGY,4.8,4150,1.99,50000,Corroding games,https://play.google.com/store/apps/details?id=com.corrodinggames.rts,99500.0
359,Civilization Revolution 2,GAME_STRATEGY,3.9,12126,9.99,100000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.t2kgames.civrev2,999000.0
360,First Strike: Final Hour,GAME_STRATEGY,4.3,8772,1.0,100000,Blindflug Studios AG,https://play.google.com/store/apps/details?id=ch.feinheit.games.firststrike,100000.0
361,Papa's Scooperia To Go!,GAME_STRATEGY,4.6,370,1.99,10000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papasscooperiatogo,19900.0
362,Kingdom Rush Frontiers,GAME_STRATEGY,4.7,113297,1.99,500000,Ironhide Game Studio,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushfrontiers,995000.0
363,Papa's Burgeria To Go!,GAME_STRATEGY,4.3,6763,0.99,100000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo,99000.0
364,Uciana,GAME_STRATEGY,4.6,1311,0.99,50000,Birdshel,https://play.google.com/store/apps/details?id=com.birdshel.Uciana,49500.0
365,XCOM®: Enemy Within,GAME_STRATEGY,4.2,14962,9.99,100000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.tt2kgames.xcomew,999000.0
366,Papa's Pancakeria To Go!,GAME_STRATEGY,4.4,119,1.99,5000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papaspancakeriatogo,9950.0
367,Papa's Pizzeria To Go!,GAME_STRATEGY,4.3,5562,0.99,100000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papaspizzeriatogo,99000.0
368,Kingdom Rush Origins,GAME_STRATEGY,4.8,88438,2.99,500000,Ironhide Game Studio,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushorigins,1495000.0
369,Door Kickers,GAME_STRATEGY,4.6,8042,3.99,100000,KillHouse Games,https://play.google.com/store/apps/details?id=com.khg.doorkickers,399000.0
370,Papa's Cupcakeria To Go!,GAME_STRATEGY,4.5,2140,1.99,50000,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papascupcakeriatogo,99500.0
371,"Warhammer 40,000: Regicide",GAME_STRATEGY,4.2,4174,0.99,50000,Hammerfall Publishing Global,https://play.google.com/store/apps/details?id=com.hammerfall.regicide,49500.0
372,Teeny Titans - Teen Titans Go!,GAME_STRATEGY,4.6,21671,3.99,100000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.ttgfigures,399000.0
373,Rebuild 3: Gangs of Deadsville,GAME_STRATEGY,4.6,4739,4.99,50000,Northway Games,https://play.google.com/store/apps/details?id=air.com.sarahnorthway.rebuild3,249500.0
374,Organ Trail: Director's Cut,GAME_STRATEGY,4.4,6420,2.99,100000,The Men Who Wear Many Hats LLC,https://play.google.com/store/apps/details?id=com.hatsproductions.OrganTrail,299000.0
375,Trivia Crack (No Ads),GAME_TRIVIA,4.5,61210,5.99,500000,Etermax,https://play.google.com/store/apps/details?id=com.etermax.preguntados.pro,2995000.0
376,Sporcle,GAME_TRIVIA,3.5,1507,1.99,50000,"Sporcle, Inc",https://play.google.com/store/apps/details?id=com.sporcle,99500.0
377,BLeBRiTY,GAME_TRIVIA,4.3,459,0.99,10000,"Communicating Rooks, LLC",https://play.google.com/store/apps/details?id=com.happeningnow.blebrity,9900.0
378,The Jackbox Party Pack,GAME_TRIVIA,4.3,31,24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.JackboxPartyLoaderFull,24990.0
379,The Jackbox Party Pack 5,GAME_TRIVIA,3.5,2,29.99,500,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP5Loader,14995.0
380,Bible Bowl Prep 2019,GAME_TRIVIA,,0,0.99,50,3:16 Apps,https://play.google.com/store/apps/details?id=app.marrvelous.biblebowlprep.v2019,49.5
381,The Jackbox Party Pack 3,GAME_TRIVIA,3.7,9,24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP3Loader,24990.0
382,The 7 Second Challenge,GAME_TRIVIA,4.1,1068,1.99,10000,Mind Candy Ltd,https://play.google.com/store/apps/details?id=com.mindcandy.sevensecondchallenge,19900.0
383,The Jackbox Party Pack 2,GAME_TRIVIA,3.9,11,24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.JBPP2Loader,24990.0
384,The Black Card Game,GAME_TRIVIA,1.6,8,0.99,100,The App Maker Guru,https://play.google.com/store/apps/details?id=com.mystudio.blackcard,99.0
385,4 Player Reactor (Multiplayer),GAME_TRIVIA,4.7,4375,2.49,50000,cool cherry trees,https://play.google.com/store/apps/details?id=coolcherrytrees.games.reactor4,124500.00000000001
386,Pointless Quiz,GAME_TRIVIA,3.9,4368,1.99,50000,Good Catch,https://play.google.com/store/apps/details?id=com.jam.pointless,99500.0
387,The Jackbox Party Pack 4,GAME_TRIVIA,4.0,4,24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP4Loader,24990.0
388,Quizoid Pro: Category Trivia with 5 Game modes,GAME_TRIVIA,4.6,1032,2.99,10000,Habanero Quiz Apps,https://play.google.com/store/apps/details?id=de.habanero.quizoidpro,29900.000000000004
389,Penny Dell Jumbo Crosswords,GAME_TRIVIA,4.9,22,9.99,100,PuzzleNation,https://play.google.com/store/apps/details?id=com.puzzlenation.JumboCrosswords1,999.0
390,Einstein™ Brain Training,GAME_TRIVIA,4.2,1988,2.99,10000,BBG Entertainment,https://play.google.com/store/apps/details?id=de.bbg.EinsteinHD,29900.000000000004
391,Text Twist 2019,GAME_TRIVIA,1.8,5,2.49,10,App Marketing Center,https://play.google.com/store/apps/details?id=com.texttwist2019,24.900000000000002
392,Lets get wasted 18+ ;),GAME_TRIVIA,5.0,5,0.99,5,Ubisquid,https://play.google.com/store/apps/details?id=ubisquid.Lucky.jon.luckystarsdrinkinggame,4.95
393,SHAPE - the picture trivia quiz,GAME_TRIVIA,,0,1.49,10,DC Thomson Media,https://play.google.com/store/apps/details?id=com.dctmedia.shapesdeluxe,14.9
394,QuizBash - Party Games in Your Pocket!,GAME_TRIVIA,5.0,11,1.49,100,QuizBash,https://play.google.com/store/apps/details?id=com.quizbash.quizbash,149.0
395,The Ultimate Trivia Challenge,GAME_TRIVIA,,0,4.99,10,LoadUpGames.com,https://play.google.com/store/apps/details?id=com.loadupgames.ultimatetriviachallenge,49.900000000000006
396,Quizio PRO: Quiz game,GAME_TRIVIA,4.0,1709,0.99,100000,Valery Bodak,https://play.google.com/store/apps/details?id=com.quiziopro,99000.0
397,Wer Wird Millionär?,GAME_TRIVIA,3.9,1249,2.49,50000,Sony Pictures Television UK Rights Ltd,https://play.google.com/store/apps/details?id=com.sony.wwtbam2014german,124500.00000000001
398,The Office Fan Quiz (No Ads),GAME_TRIVIA,,0,2.49,10,Pocket Alpha,https://play.google.com/store/apps/details?id=com.pocketalpha.quiz.officenoads,24.900000000000002
399,HQ Trivia Helper Unlimited,GAME_TRIVIA,1.9,33,2.99,100,LicketyCut,https://play.google.com/store/apps/details?id=com.licketycut.hqhelper.unlimited,299.0
