,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
69,The Impossible Game,GAME_ARCADE,4.1,19824,0.99,500000,FlukeDude,https://play.google.com/store/apps/details?id=com.flukedude.impossiblegame,495000.0
70,Granny Smith,GAME_ARCADE,4.7,41911,1.99,500000,Mediocre,https://play.google.com/store/apps/details?id=com.mediocre.grannysmith,995000.0
71,holedown,GAME_ARCADE,4.5,390,3.99,10000,grapefrukt games,https://play.google.com/store/apps/details?id=com.grapefrukt.games.bore,39900.0
72,Shopkins Run!,GAME_ARCADE,4.3,128,3.99,10000,Mighty Kingdom,https://play.google.com/store/apps/details?id=com.mightykingdom.shopkinsrun,39900.0
73,METAL SLUG 3,GAME_ARCADE,3.7,14170,2.99,100000,SNK CORPORATION,https://play.google.com/store/apps/details?id=com.dotemu.neogeo.mslug3,299000.0
74,Sonic 4™ Episode I,GAME_ARCADE,3.7,8210,2.99,100000,SEGA,https://play.google.com/store/apps/details?id=com.sega.sonic4epi,299000.0
75,The Game of Life,GAME_BOARD,4.4,23502,2.99,500000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.golmobile,1495000.0
76,Clue,GAME_BOARD,4.6,23998,1.99,100000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.cluedogame,199000.0
77,Legends of Andor – The King’s Secret,GAME_BOARD,4.5,165,5.99,1000,USM,https://play.google.com/store/apps/details?id=com.usm.andorsecret,5990.0
78,Twice as clever,GAME_BOARD,3.7,15,2.99,500,Brettspielwelt GmbH,https://play.google.com/store/apps/details?id=de.brettspielwelt.doppeltsoclever,1495.0
79,Ticket to Ride,GAME_BOARD,4.2,12723,4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.tt.android,499000.0
80,Pandemic: The Board Game,GAME_BOARD,4.7,4030,4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.f2zentertainment.pandemic,499000.0
81,Catan Classic,GAME_BOARD,3.9,25437,4.99,500000,USM,https://play.google.com/store/apps/details?id=com.exozet.android.catan,2495000.0
82,Carcassonne: Official Board Game -Tiles & Tactics,GAME_BOARD,4.4,4403,4.99,50000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.carcassonne,249500.0
83,Chess,GAME_BOARD,4.6,5429,1.99,100000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.chess,199000.0
84,Hasbro's BATTLESHIP,GAME_BOARD,4.2,1314,2.99,50000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.battleship,149500.0
85,Splendor,GAME_BOARD,4.1,3164,4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.Splendor.gp,499000.0
86,Ganz schön clever,GAME_BOARD,4.2,129,2.99,5000,Brettspielwelt GmbH,https://play.google.com/store/apps/details?id=de.brettspielwelt.ganzschoenclever,14950.000000000002
87,Backgammon,GAME_BOARD,4.1,1892,1.99,50000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.backgammon,99500.0
88,Through the Ages,GAME_BOARD,4.9,5988,9.99,10000,CGE digital,https://play.google.com/store/apps/details?id=com.czechgames.tta,99900.0
89,D&D Lords of Waterdeep,GAME_BOARD,3.6,635,6.99,10000,"Playdek, Inc.",https://play.google.com/store/apps/details?id=com.playdekgames.waterdeep,69900.0
90,Race for the Galaxy,GAME_BOARD,4.5,496,6.99,10000,Temple Gates Games LLC,https://play.google.com/store/apps/details?id=com.templegatesgames.RaceAndroid,69900.0
91,Small World 2,GAME_BOARD,4.4,5639,4.99,50000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.smallworld2,249500.0
92,Stratego® Single Player,GAME_BOARD,3.8,666,2.99,10000,Youda Games Holding B.V.,https://play.google.com/store/apps/details?id=com.youdagames.stratego,29900.000000000004
